id,score1,score2,score3,final_score,school_name,school_encoded,cluster,xep_loai
1,7.3,6.8,7.3,7.1,Trường THPT Bùi Thị Xuân,11.0,2,Khá
2,7.8,7.1,7.7,7.5,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
3,8.6,8.9,8.7,8.7,Trường THCS Á Châu,6.0,0,Xuất sắc
4,7.7,7.3,7.5,7.5,Trường THPT Phú Nhuận,9.0,2,Khá
5,7.8,7.5,7.5,7.6,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
6,6.6,6.8,7.2,6.9,Trường THPT Phú Nhuận,9.0,2,Khá
7,9.0,9.1,9.1,9.1,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
8,7.7,7.0,8.0,7.6,Trường THCS Nguyễn Du,2.0,2,Khá
9,7.0,7.0,7.2,7.1,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
10,9.7,9.7,10.0,9.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
11,9.0,8.9,8.7,8.9,Trường THCS Bạch Đằng,4.0,0,Xuất sắc
12,6.4,7.2,7.4,7.0,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
13,7.1,7.4,7.5,7.3,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
14,7.2,7.2,8.0,7.5,Trường THCS Việt Úc,8.0,2,Khá
15,8.3,7.6,8.3,8.1,Trường THPT Trần Phú,7.0,2,Khá
16,7.4,6.8,7.3,7.2,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
17,9.3,8.8,9.3,9.1,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
18,5.5,4.8,3.6,4.6,Trường THPT Lê Quý Đôn,5.0,1,Yếu
19,7.3,6.8,7.1,7.1,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
20,6.3,5.9,6.3,6.2,Trường THPT Lê Quý Đôn,5.0,4,Trung bình
21,3.3,5.5,5.2,4.7,Trường THPT Lê Quý Đôn,5.0,1,Yếu
22,8.7,8.5,8.7,8.6,Trường THCS Colette,16.0,0,Xuất sắc
23,7.3,7.6,7.8,7.6,Trường THCS Trần Văn Ơn,10.0,2,Khá
24,3.6,2.8,3.8,3.4,Trường THPT Lê Quý Đôn,5.0,1,Yếu
25,7.9,7.8,7.8,7.8,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
26,5.4,3.1,3.6,4.0,Trường THPT Mạc Đĩnh Chi,3.0,1,Yếu
27,8.8,8.3,8.7,8.6,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
28,5.5,5.1,6.7,5.8,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
29,7.8,6.9,6.8,7.2,Trường THCS Nguyễn Du,2.0,2,Khá
30,5.9,5.6,6.2,5.9,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
31,9.9,9.8,9.8,9.8,Trường THCS Việt Úc,8.0,0,Xuất sắc
32,8.5,9.0,8.7,8.7,Trường THCS Trần Văn Ơn,10.0,0,Xuất sắc
33,7.8,8.0,8.0,7.9,Trường THPT Gia Định,17.0,3,Giỏi
34,7.8,7.9,7.8,7.8,Trường THCS Việt Úc,8.0,2,Khá
35,6.6,5.9,5.9,6.1,Trường THPT Trần Phú,7.0,4,Trung bình
36,8.2,8.3,8.2,8.2,Trường THPT Gia Định,17.0,3,Giỏi
37,8.0,7.9,7.9,7.9,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
38,9.8,9.8,10.0,9.9,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
39,8.2,7.9,8.4,8.2,Trường THCS Colette,16.0,3,Giỏi
40,7.4,6.9,6.9,7.1,Trường THCS Nguyễn Du,2.0,2,Khá
41,7.4,7.9,7.5,7.6,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
42,9.9,9.8,10.0,9.9,Trường THCS Colette,16.0,0,Xuất sắc
43,6.6,5.7,6.0,6.1,Trường THPT Trần Phú,7.0,4,Trung bình
44,8.8,8.3,8.6,8.6,Trường THCS Colette,16.0,0,Xuất sắc
45,6.6,3.5,4.3,4.8,Trường THCS Nguyễn Du,2.0,1,Yếu
46,9.8,9.5,9.9,9.7,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
47,8.2,7.6,7.7,7.8,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
