id,score1,score2,score3,final_score,school_name
1,7.3,6.8,7.3,7.1,Trường THPT Bùi Thị Xuân
2,7.8,7.1,7.7,7.5,Trường THPT Bùi Thị Xuân
3,8.6,8.9,8.7,8.7,Trường THCS Á Châu
4,7.7,7.3,7.5,7.5,Trường THPT Phú Nhuận
5,7.8,7.5,7.5,7.6,Trường THPT Bùi Thị Xuân
6,6.6,6.8,7.2,6.9,Trường THPT Phú Nhuận
7,9.0,9.1,9.1,9.1,Trường THCS Nguyễn Hữu Thọ
8,7.7,7.0,8.0,7.6,Trường THCS Nguyễn Du
9,7.0,7.0,7.2,7.1,Trường THPT Mạc Đĩnh Chi
10,9.7,9.7,10.0,9.8,Trường THPT Nguyễn Thượng Hiền
11,9.0,8.9,8.7,8.9,Trường THCS Bạch Đằng
12,6.4,7.2,7.4,7.0,Trường THPT Nguyễn Thượng Hiền
13,7.1,7.4,7.5,7.3,Trường THPT Nguyễn Thượng Hiền
14,7.2,7.2,8.0,7.5,Trường THCS Việt Úc
15,8.3,7.6,8.3,8.1,Trường THPT Trần Phú
16,7.4,6.8,7.3,7.2,Trường THPT Nguyễn Thị Minh Khai
17,9.3,8.8,9.3,9.1,Trường THCS Nguyễn Hữu Thọ
18,5.5,4.8,3.6,4.6,Trường THPT Lê Quý Đôn
19,7.3,6.8,7.1,7.1,Trường THCS Đoàn Thị Điểm
20,6.3,5.9,6.3,6.2,Trường THPT Lê Quý Đôn
21,3.3,5.5,5.2,4.7,Trường THPT Lê Quý Đôn
22,8.7,8.5,8.7,8.6,Trường THCS Colette
23,7.3,7.6,7.8,7.6,Trường THCS Trần Văn Ơn
24,3.6,2.8,3.8,3.4,Trường THPT Lê Quý Đôn
25,7.9,7.8,7.8,7.8,Trường THPT Mạc Đĩnh Chi
26,5.4,3.1,3.6,4.0,Trường THPT Mạc Đĩnh Chi
27,8.8,8.3,8.7,8.6,Trường THPT Nguyễn Thượng Hiền
28,5.5,5.1,6.7,5.8,THPT Nguyễn Hữu Cầu
29,7.8,6.9,6.8,7.2,Trường THCS Nguyễn Du
30,5.9,5.6,6.2,5.9,Trường THCS Đoàn Thị Điểm
31,9.9,9.8,9.8,9.8,Trường THCS Việt Úc
32,8.5,9.0,8.7,8.7,Trường THCS Trần Văn Ơn
33,7.8,8.0,8.0,7.9,Trường THPT Gia Định
34,7.8,7.9,7.8,7.8,Trường THCS Việt Úc
35,6.6,5.9,5.9,6.1,Trường THPT Trần Phú
36,8.2,8.3,8.2,8.2,Trường THPT Gia Định
37,8.0,7.9,7.9,7.9,Trường THPT Nguyễn Thượng Hiền
38,9.8,9.8,10.0,9.9,Trường THPT Nguyễn Thị Minh Khai
39,8.2,7.9,8.4,8.2,Trường THCS Colette
40,7.4,6.9,6.9,7.1,Trường THCS Nguyễn Du
41,7.4,7.9,7.5,7.6,Trường THPT Nguyễn Thị Minh Khai
42,9.9,9.8,10.0,9.9,Trường THCS Colette
43,6.6,5.7,6.0,6.1,Trường THPT Trần Phú
44,8.8,8.3,8.6,8.6,Trường THCS Colette
45,6.6,3.5,4.3,4.8,Trường THCS Nguyễn Du
46,9.8,9.5,9.9,9.7,Trường THCS Nguyễn Hữu Thọ
47,8.2,7.6,7.7,7.8,Trường THCS Lê Quý Đôn
48,8.0,8.3,8.0,8.1,THPT Nguyễn Hữu Cầu
49,8.6,8.9,8.6,8.7,Trường THPT Gia Định
50,8.8,8.6,8.8,8.7,Trường THPT Nguyễn Thượng Hiền
51,8.2,7.9,8.0,8.0,Trường THPT Nguyễn Thượng Hiền
52,5.5,5.8,7.2,6.2,Trường THCS Bạch Đằng
53,7.9,8.0,7.5,7.8,Trường THCS Á Châu
54,6.0,5.4,6.1,5.8,Trường THCS Bạch Đằng
55,8.3,8.0,8.4,8.2,Trường THCS Hai Bà Trưng
56,6.6,6.1,6.8,6.5,Trường THPT Mạc Đĩnh Chi
57,8.1,8.1,8.1,8.1,Trường THCS Nguyễn Hữu Thọ
58,4.9,3.0,4.4,4.1,Trường THPT Lê Quý Đôn
59,8.8,8.7,9.0,8.8,Trường THCS Việt Úc
60,9.0,9.2,8.7,9.0,Trường THCS Lê Quý Đôn
61,9.5,8.8,9.3,9.2,Trường THCS Colette
62,6.6,4.5,5.6,5.6,Trường THPT Mạc Đĩnh Chi
63,6.3,7.1,7.7,7.0,Trường THPT Nguyễn Thị Minh Khai
64,9.6,9.8,10.0,9.8,Trường THPT Nguyễn Thượng Hiền
65,9.1,8.8,9.5,9.1,Trường THCS Nguyễn Hữu Thọ
66,6.0,5.3,6.5,5.9,Trường THPT Mạc Đĩnh Chi
67,8.9,8.3,8.8,8.7,Trường THPT Nguyễn Hữu Huân
68,5.0,4.8,5.2,5.0,Trường THCS Nguyễn Du
69,7.2,7.0,6.8,7.0,Trường THPT Mạc Đĩnh Chi
70,8.5,8.6,9.1,8.7,Trường THPT Nguyễn Thị Minh Khai
71,7.1,7.2,8.0,7.4,Trường THCS Việt Úc
72,9.2,9.0,9.4,9.2,Trường THPT Nguyễn Thị Minh Khai
73,8.2,7.8,8.2,8.1,Trường THPT Nguyễn Thị Minh Khai
74,8.6,8.4,9.0,8.7,Trường THPT Nguyễn Thị Minh Khai
75,8.5,8.8,8.7,8.7,Trường THPT Bùi Thị Xuân
76,5.7,5.3,6.3,5.8,Trường THCS Đoàn Thị Điểm
77,9.4,9.0,9.1,9.2,Trường THCS Lê Quý Đôn
78,6.8,7.0,6.8,6.9,Trường THPT Bùi Thị Xuân
79,6.0,6.4,5.8,6.1,Trường THPT Phú Nhuận
80,8.9,8.5,8.9,8.8,Trường THCS Colette
81,4.5,3.9,5.3,4.6,THPT Nguyễn Hữu Cầu
82,9.1,9.2,9.0,9.1,Trường THPT Gia Định
83,7.8,7.5,7.8,7.7,Trường THCS Lê Quý Đôn
84,8.3,7.9,8.4,8.2,Trường THCS Lê Quý Đôn
85,7.4,6.9,7.5,7.3,Trường THPT Mạc Đĩnh Chi
86,8.1,8.1,8.3,8.2,Trường THPT Phú Nhuận
87,8.3,7.8,7.7,7.9,Trường THPT Nguyễn Thượng Hiền
88,8.0,8.2,8.2,8.1,Trường THCS Lê Quý Đôn
89,3.9,5.3,4.1,4.4,Trường THCS Bạch Đằng
90,6.0,5.1,6.1,5.7,Trường THCS Nguyễn Du
91,7.1,7.1,7.5,7.2,Trường THPT Bùi Thị Xuân
92,6.8,6.0,6.6,6.5,Trường THPT Phú Nhuận
93,5.3,4.2,6.5,5.3,Trường THCS Nguyễn Du
94,9.1,9.0,9.2,9.1,Trường THPT Nguyễn Thị Minh Khai
95,8.1,8.0,8.2,8.1,Trường THCS Lê Quý Đôn
96,8.0,8.5,8.6,8.4,Trường THPT Trần Phú
97,3.4,3.5,4.8,3.9,Trường THCS Việt Úc
98,6.0,5.5,6.3,5.9,Trường THCS Bạch Đằng
99,6.1,5.9,6.4,6.1,Trường THCS Nguyễn Du
100,7.0,6.8,7.3,7.0,Trường THPT Mạc Đĩnh Chi
101,9.0,8.9,9.1,9.0,Trường THCS Nguyễn Hữu Thọ
102,7.8,7.9,7.4,7.7,Trường THCS Lê Quý Đôn
103,7.3,7.6,7.6,7.5,Trường THPT Trần Phú
104,6.2,6.7,6.1,6.3,THPT Nguyễn Hữu Cầu
105,7.1,6.8,7.4,7.1,Trường THPT Nguyễn Thượng Hiền
106,8.8,8.3,8.9,8.7,Trường THCS Nguyễn Hữu Thọ
107,8.9,8.8,8.7,8.8,Trường THPT Nguyễn Thượng Hiền
108,6.2,5.7,6.0,6.0,Trường THPT Bùi Thị Xuân
109,4.0,2.7,5.6,4.1,THPT Nguyễn Hữu Cầu
110,8.4,8.6,8.8,8.6,Trường THPT Nguyễn Thị Minh Khai
111,7.4,7.3,8.0,7.6,Trường THCS Nguyễn Hữu Thọ
112,7.2,6.3,7.4,7.0,Trường THPT Nguyễn Thượng Hiền
113,8.3,7.9,8.3,8.2,Trường THCS Á Châu
114,9.5,8.6,8.9,9.0,Trường THPT Nguyễn Thượng Hiền
115,5.8,5.3,6.6,5.9,Trường THCS Bạch Đằng
116,8.1,7.9,8.2,8.1,Trường THPT Nguyễn Thượng Hiền
117,6.0,4.8,6.0,5.6,THPT Nguyễn Hữu Cầu
118,9.1,9.0,9.5,9.2,Trường THCS Nguyễn Hữu Thọ
119,8.4,8.3,8.4,8.4,Trường THPT Nguyễn Thị Minh Khai
120,8.1,8.1,8.2,8.1,Trường THCS Nguyễn Hữu Thọ
121,7.2,6.5,7.0,6.9,Trường THCS Á Châu
122,7.8,8.0,8.8,8.2,Trường THCS Hai Bà Trưng
123,4.7,5.6,6.5,5.6,Trường THPT Mạc Đĩnh Chi
124,7.1,7.8,7.4,7.4,Trường THCS Trần Văn Ơn
125,8.1,7.8,8.2,8.0,Trường THPT Nguyễn Hữu Huân
126,7.8,7.2,7.6,7.5,Trường THPT Gia Định
127,8.3,8.3,8.0,8.2,Trường THCS Á Châu
128,8.0,8.0,8.0,8.0,Trường THCS Colette
129,5.6,4.1,3.9,4.5,Trường THPT Mạc Đĩnh Chi
130,9.3,9.3,9.4,9.3,Trường THPT Gia Định
131,6.5,6.9,7.2,6.9,Trường THCS Nguyễn Du
132,8.2,8.1,8.6,8.3,Trường THPT Nguyễn Thượng Hiền
133,8.9,8.8,9.1,8.9,Trường THCS Nguyễn Hữu Thọ
134,7.4,7.9,8.0,7.8,Trường THPT Gia Định
135,5.8,5.7,6.6,6.0,Trường THCS Đoàn Thị Điểm
136,4.2,3.7,4.3,4.1,THPT Nguyễn Hữu Cầu
137,9.8,9.7,9.9,9.8,Trường THCS Nguyễn Hữu Thọ
138,6.8,7.0,6.9,6.9,Trường THPT Nguyễn Hữu Huân
139,8.7,8.6,9.0,8.8,Trường THCS Việt Úc
140,5.6,6.2,6.8,6.2,THPT Nguyễn Hữu Cầu
141,9.9,9.7,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai
142,6.2,6.1,6.5,6.3,Trường THPT Lê Quý Đôn
143,6.9,7.0,7.1,7.0,Trường THCS Trần Văn Ơn
144,9.6,9.6,9.8,9.7,Trường THCS Lê Quý Đôn
145,6.4,5.0,6.4,5.9,Trường THCS Nguyễn Du
146,6.5,6.5,7.6,6.9,Trường THPT Lê Quý Đôn
147,8.1,7.3,7.1,7.5,Trường THCS Hai Bà Trưng
148,8.7,8.8,9.4,9.0,Trường THCS Lê Quý Đôn
149,9.5,9.2,9.1,9.3,Trường THPT Nguyễn Thượng Hiền
150,7.9,7.4,7.3,7.5,Trường THPT Trần Phú
151,6.9,6.8,7.1,6.9,Trường THCS Việt Úc
152,6.8,6.0,7.4,6.7,Trường THCS Á Châu
153,8.3,8.1,8.6,8.3,Trường THPT Nguyễn Hữu Huân
154,6.7,6.3,6.2,6.4,Trường THCS Bạch Đằng
155,7.6,7.3,7.4,7.4,Trường THPT Nguyễn Thượng Hiền
156,7.0,7.0,6.7,6.9,Trường THCS Á Châu
157,7.4,7.5,7.5,7.5,Trường THCS Colette
158,9.7,9.9,10.0,9.9,Trường THPT Nguyễn Thị Minh Khai
159,8.2,7.5,7.8,7.8,Trường THCS Việt Úc
160,8.3,8.3,8.4,8.3,Trường THCS Nguyễn Hữu Thọ
